method,arm,n_targets,ties_skipped,pct_math_gt_words_All,pct_Algebra,pct_Calculus and Analysis,pct_Combinatorics,pct_Geometry,pct_Number Theory,mean_pr_full,mean_pr_math,mean_pr_text
Qwen/Qwen3-Embedding-8B,p1,969,0,55.83,83.67,92.78,37.44,31.31,46.59,0.6334,0.5557,0.5456
Qwen/Qwen3-Embedding-8B,p2,969,0,56.14,85.71,93.33,36.92,29.29,48.19,0.6287,0.5501,0.5333
Qwen/Qwen3-Embedding-8B,p3,969,0,57.48,85.71,93.89,37.95,34.34,48.19,0.6352,0.5373,0.5043
Octen/Octen-Embedding-4B,p0,969,0,51.81,76.19,91.67,35.9,30.3,38.15,0.6684,0.5809,0.5713
Octen/Octen-Embedding-4B,p1,969,0,53.15,77.55,92.78,36.41,29.8,41.77,0.687,0.5995,0.5971
Octen/Octen-Embedding-4B,p2,969,0,51.19,76.19,91.11,34.36,27.78,39.36,0.6665,0.5801,0.5866
Octen/Octen-Embedding-4B,p3,969,0,52.22,75.51,91.11,34.87,28.79,42.57,0.6736,0.5839,0.5766
google/gemini-embedding-2,p0,969,0,49.23,76.87,93.89,33.85,17.68,37.75,0.7832,0.7167,0.7227
google/gemini-embedding-2,p1,969,0,60.78,85.71,96.67,37.95,33.84,59.44,0.7829,0.7478,0.7348
google/gemini-embedding-2,p2,969,0,61.4,85.71,96.67,38.97,34.34,60.64,0.7614,0.7273,0.7104
google/gemini-embedding-2,p3,969,0,56.66,82.99,95.56,36.92,27.27,51.81,0.7758,0.7249,0.7146
google/embeddinggemma-300m,p0,969,0,48.71,76.19,91.11,37.44,26.26,28.51,0.5202,0.4349,0.4372
google/embeddinggemma-300m,p1,969,0,47.57,79.59,90.56,35.38,21.21,28.11,0.5317,0.443,0.4529
google/embeddinggemma-300m,p2,969,0,42.41,74.83,90.0,33.85,12.63,19.28,0.5031,0.3654,0.3966
google/embeddinggemma-300m,p3,969,0,47.47,78.23,91.67,34.87,24.24,25.7,0.5201,0.4156,0.423
qwen3-reranker-0.6b,p0,969,0,48.61,73.47,73.33,41.03,23.23,42.17,0.6267,0.4515,0.4823
qwen3-reranker-0.6b,p1,969,0,47.57,68.03,65.0,37.44,29.8,44.98,0.5868,0.4295,0.4774
qwen3-reranker-0.6b,p2,969,0,47.37,72.11,67.22,35.9,25.25,44.98,0.5994,0.445,0.5006
qwen3-reranker-0.6b,p3,969,0,49.33,76.87,71.11,38.97,25.76,44.18,0.5461,0.3858,0.4032
qwen3-reranker-4b,p0,969,0,48.19,54.42,76.67,37.95,23.74,51.41,0.7033,0.4769,0.4989
qwen3-reranker-4b,p1,969,0,49.95,62.59,67.78,38.46,30.81,53.82,0.5562,0.3559,0.3857
qwen3-reranker-4b,p2,969,0,42.41,47.62,51.67,35.9,28.28,49.0,0.389,0.2595,0.3262
qwen3-reranker-4b,p3,969,0,45.1,51.02,68.33,36.41,24.75,47.79,0.5255,0.3223,0.3742
AQ-MedAI/Diver-Retriever-4B,p0,969,0,47.27,68.71,87.78,35.9,20.71,35.34,0.8281,0.7816,0.7815
AQ-MedAI/Diver-Retriever-4B,p1,969,0,50.98,71.43,90.0,36.92,25.76,41.77,0.8248,0.7823,0.7859
AQ-MedAI/Diver-Retriever-4B,p2,969,0,53.66,74.83,90.0,37.95,27.27,48.19,0.8123,0.7715,0.7734
AQ-MedAI/Diver-Retriever-4B,p3,969,0,50.57,75.51,90.0,37.44,21.72,40.56,0.8166,0.7691,0.7719
inf-x-retriever,p0,969,6,45.59,60.54,78.89,34.36,27.46,35.48,0.8635,0.8457,0.8506
